FacilityType,Risk_Clean,Zip_Clean,Month,InspectionType_Clean,Result_Clean
2,2,34,11,6,1
2,3,31,11,3,2
1,2,36,11,1,5
2,3,32,11,2,2
2,3,16,11,2,2
2,3,19,11,2,4
2,3,20,11,4,2
0,3,10,11,1,5
2,3,30,11,1,2
2,3,30,11,1,2
2,3,9,11,3,2
7,3,31,11,2,2
12,1,31,11,1,1
13,1,37,11,1,2
2,3,30,11,1,2
2,3,6,11,5,0
2,2,7,11,1,2
2,2,7,11,2,2
2,3,15,11,2,0
2,1,33,11,1,1
2,3,33,11,1,1
1,3,22,11,1,0
2,3,14,11,5,2
2,3,16,11,8,2
7,3,25,11,2,4
5,3,5,11,4,0
14,3,34,11,6,1
6,3,6,11,2,2
2,3,15,11,2,0
2,3,20,11,2,2
2,2,6,11,5,1
2,3,4,11,2,1
4,3,47,10,2,1
2,3,32,11,2,2
2,1,16,11,1,2
2,3,30,11,1,1
2,3,30,11,1,1
8,3,47,11,2,0
8,3,47,11,2,0
2,3,30,11,1,1
2,3,7,11,3,2
5,3,37,11,2,2
4,3,6,10,4,1
2,3,16,11,1,2
2,3,1,11,8,0
2,3,25,11,2,2
2,2,10,11,1,2
6,3,6,11,2,2
2,3,16,10,5,1
4,3,5,11,2,0
4,3,6,11,4,2
7,3,25,11,2,2
2,3,7,11,2,4
6,3,37,11,4,1
9,3,19,11,4,2
1,1,52,10,1,5
7,3,9,10,2,4
3,3,7,11,4,1
2,2,7,11,2,0
2,3,12,11,3,2
6,3,47,11,4,0
2,3,6,11,3,1
2,2,10,11,4,2
5,3,32,11,2,4
2,2,9,11,1,2
2,3,20,10,2,4
5,3,6,11,2,2
5,3,6,11,2,4
5,3,6,11,2,4
1,1,45,11,1,2
4,3,5,11,2,4
2,1,21,11,1,1
2,3,22,11,3,2
7,3,5,11,2,2
2,2,21,11,3,2
2,3,4,11,6,2
3,3,25,11,2,2
2,3,40,11,1,2
2,3,1,11,5,0
2,3,16,11,2,2
2,3,7,11,2,2
2,3,19,11,2,0
2,3,16,11,2,6
2,3,16,11,2,4
2,3,3,11,5,0
2,2,24,11,6,1
2,3,20,11,2,2
7,3,49,11,2,2
2,3,34,11,6,1
2,3,23,8,2,6
2,3,15,11,2,2
2,3,47,11,5,1
2,2,19,11,2,1
2,3,34,11,5,6
6,3,34,11,2,4
2,3,25,11,2,2
15,3,25,11,2,4
2,3,45,11,5,0
7,3,25,11,2,4
4,3,5,11,2,0
2,3,7,11,2,2
6,3,34,11,2,2
4,3,6,11,2,1
15,3,47,11,2,2
2,3,15,11,2,1
2,2,6,11,5,2
2,3,20,10,2,4
9,3,16,11,2,2
2,3,7,11,1,0
2,3,19,11,2,4
2,3,7,11,2,6
2,3,19,11,3,2
3,3,7,11,4,2
7,3,25,11,2,2
2,2,37,10,6,1
2,3,16,10,2,6
2,2,6,11,6,2
3,3,4,11,4,2
6,3,1,11,2,0
16,3,12,11,3,1
2,3,19,11,2,2
7,3,24,11,1,2
0,2,22,11,1,5
2,3,31,10,1,1
2,3,12,11,1,0
6,3,6,11,2,2
2,3,6,11,5,2
5,3,1,11,4,2
2,3,9,11,1,0
2,3,5,10,2,4
2,3,16,11,8,2
7,3,25,11,2,2
2,3,20,11,2,2
6,3,6,11,2,2
17,2,41,11,5,0
2,3,32,11,5,2
6,3,24,11,1,1
1,2,5,11,5,2
2,3,12,11,1,0
7,3,14,11,2,2
7,3,14,11,2,4
2,3,20,11,4,2
2,2,5,11,5,1
2,2,53,11,1,2
2,3,19,11,2,2
2,2,7,11,1,2
4,2,40,11,2,2
2,2,51,11,5,2
2,3,54,11,1,2
2,3,5,10,2,4
2,3,30,11,1,2
4,3,5,11,2,0
0,3,5,11,1,3
2,3,30,11,2,2
2,3,20,11,1,2
2,2,33,11,1,1
1,1,22,11,1,0
7,3,14,11,4,2
2,3,20,11,2,4
2,3,6,11,2,4
15,3,7,10,2,1
7,3,5,11,2,0
1,1,26,11,3,2
2,3,7,11,2,2
2,3,27,11,5,0
2,3,9,11,1,2
6,3,6,11,2,2
2,3,2,11,2,6
2,3,6,11,3,2
18,2,15,11,2,2
19,2,15,11,2,4
3,3,42,11,2,2
2,3,16,11,2,4
4,3,11,11,2,2
2,3,16,11,5,0
6,3,6,11,2,1
2,3,9,11,1,2
20,1,14,11,3,1
7,3,40,11,3,2
2,3,2,11,7,2
15,3,27,11,2,6
4,2,42,11,2,1
7,3,5,11,2,0
2,3,26,11,5,2
2,1,12,11,1,2
2,3,13,10,4,1
1,1,5,11,2,2
2,3,21,11,4,1
1,1,45,11,1,0
1,1,5,11,1,5
4,2,40,11,2,2
3,3,49,11,2,2
21,1,31,11,5,0
2,3,35,11,1,1
9,2,28,9,4,1
2,2,16,11,2,2
4,3,5,11,2,0
2,3,15,11,2,0
2,2,21,11,1,2
2,3,17,11,1,5
22,3,4,11,2,2
2,2,42,11,5,2
11,3,47,11,2,2
7,3,14,11,4,2
5,1,24,11,1,5
1,3,4,11,6,1
2,3,30,11,3,2
1,3,31,11,1,0
2,2,49,11,2,4
2,3,9,11,3,2
1,3,29,11,4,2
6,3,37,11,2,0
2,2,49,11,1,2
2,3,7,11,6,1
7,3,47,11,2,2
2,3,24,11,8,2
2,3,15,11,2,2
2,3,14,11,1,5
1,2,29,11,4,2
6,3,37,11,2,2
2,3,32,11,2,2
2,3,20,11,2,2
4,3,6,11,4,1
0,3,5,11,1,5
2,3,12,11,2,2
2,3,16,11,2,2
1,1,26,11,1,0
2,3,9,11,8,2
11,3,40,11,3,2
2,3,23,11,1,0
7,3,5,11,2,0
3,3,7,11,4,2
1,3,31,11,1,5
2,3,4,9,2,0
6,3,47,11,2,2
1,1,15,11,2,2
2,3,23,11,1,0
2,2,18,11,5,2
5,3,37,11,2,2
15,3,7,11,4,1
2,1,6,11,1,2
15,3,14,11,4,0
2,3,12,11,1,2
2,2,6,11,1,2
7,3,24,11,1,0
2,1,10,11,1,1
9,2,29,11,4,2
23,3,10,9,1,2
9,3,19,11,2,0
1,1,45,11,1,5
2,3,16,11,2,2
